"lot_id","plot_id","lot_number","purchased_rights","remaining_rights","status","notes"
"CYE4-L4","CYE4","4","1","3","Partially Occupied",
"CYE4-L3","CYE4","3","1","3","Partially Occupied",
"CYE4-L2","CYE4","2","1","3","Partially Occupied",
"CYE4-L1","CYE4","1","1","3","Partially Occupied",
"CYF1-L5","CYF1","5","1","3","Unoccupied",
"CYF1-L4","CYF1","4","1","3","Unoccupied",
"CYF1-L3","CYF1","3","1","3","Partially Occupied",
"CYF1-L2","CYF1","2","1","3","Partially Occupied",
"CYF1-L1","CYF1","1","1","3","Partially Occupied",
"CYF2-L5","CYF2","5","1","3","Unoccupied",
"CYF2-L4","CYF2","4","1","3","Unoccupied",
"CYF2-L3","CYF2","3","1","3","Unoccupied",
"CYF2-L2","CYF2","2","1","3","Partially Occupied",
"CYF2-L1","CYF2","1","1","3","Unoccupied",
"CYF3-L5","CYF3","5","2","2","Partially Occupied",
"CYF3-L4","CYF3","4","1","3","Partially Occupied",
"CYF3-L3","CYF3","3","1","3","Partially Occupied",
"CYF3-L2","CYF3","2","1","3","Unoccupied",
"CYF3-L1","CYF3","1","1","3","Unoccupied",
"CYF4-L5","CYF4","5","1","3","Unoccupied",
"CYF4-L4","CYF4","4","1","3","Unoccupied",
"CYF4-L3","CYF4","3","1","3","Partially Occupied",
"CYF4-L2","CYF4","2","1","3","Partially Occupied",
"CYF4-L1","CYF4","1","1","3","Partially Occupied",
"ITA1-L5","ITA1","5","0","4","Available","Unpurchased"
"ITA1-L4","ITA1","4","2","2","Partially Occupied",
"ITA1-L3","ITA1","3","1","3","Unoccupied",
"ITA1-L2","ITA1","2","1","3","Unoccupied",
"ITA1-L1","ITA1","1","0","4","Available","Unpurchased"
"ITA10-L5","ITA10","5","2","2","Unoccupied",
"ITA10-L4","ITA10","4","2","2","Unoccupied",
"ITA10-L3","ITA10","3","2","2","Unoccupied",
"ITA10-L2","ITA10","2","2","2","Unoccupied",
"ITA10-L1","ITA10","1","2","2","Unoccupied",
"ITA11-L5","ITA11","5","1","3","Unoccupied",
"ITA11-L4","ITA11","4","1","3","Partially Occupied",
"ITA11-L3","ITA11","3","0","4","Unoccupied","Lot 3 Burial Right used for Lot 2"
"ITA11-L2","ITA11","2","2","2","Partially Occupied",
"ITA11-L1","ITA11","1","1","3","Partially Occupied",
"ITA12-L5","ITA12","5","1","3","Unoccupied",
"ITA12-L4","ITA12","4","1","3","Unoccupied",
"ITA12-L3","ITA12","3","1","3","Unoccupied",
"ITA12-L2","ITA12","2","1","3","Unoccupied",
"ITA12-L1","ITA12","1","1","3","Unoccupied",
"ITA13-L5","ITA13","5","1","3","Unoccupied",
"ITA13-L4","ITA13","4","1","3","Unoccupied",
"ITA13-L3","ITA13","3","1","3","Unoccupied",
"ITA13-L2","ITA13","2","1","3","Unoccupied",
"ITA13-L1","ITA13","1","1","3","Unoccupied",
"ITA14-L5","ITA14","5","1","3","Unoccupied",
"ITA14-L4","ITA14","4","1","3","Partially Occupied",
"ITA14-L3","ITA14","3","1","3","Unoccupied",
"ITA14-L2","ITA14","2","1","3","Unoccupied",
"ITA14-L1","ITA14","1","1","3","Unoccupied",
"ITA15-L5","ITA15","5","1","3","Unoccupied",
"ITA15-L4","ITA15","4","1","3","Unoccupied",
"ITA15-L3","ITA15","3","1","3","Unoccupied",
"ITA15-L2","ITA15","2","1","3","Unoccupied",
"ITA15-L1","ITA15","1","1","3","Unoccupied",
"ITA16-L5","ITA16","5","1","3","Unoccupied",
"ITA16-L4","ITA16","4","1","3","Unoccupied",
"ITA16-L3","ITA16","3","1","3","Unoccupied",
"ITA16-L2","ITA16","2","1","3","Unoccupied",
"ITA16-L1","ITA16","1","1","3","Unoccupied",
"ITA17-L5","ITA17","5","1","3","Partially Occupied",
"ITA17-L4","ITA17","4","1","3","Partially Occupied",
"ITA17-L3","ITA17","3","1","3","Partially Occupied",
"ITA17-L2","ITA17","2","1","3","Unoccupied",
"ITA17-L1","ITA17","1","1","3","Unoccupied",
"ITA18-L5","ITA18","5","1","3","Unoccupied",
"ITA18-L4","ITA18","4","1","3","Partially Occupied",
"ITA18-L3","ITA18","3","1","3","Unoccupied",
"ITA18-L2","ITA18","2","1","3","Partially Occupied",
"ITA18-L1","ITA18","1","1","3","Partially Occupied",
"ITA19-L5","ITA19","5","1","3","Unoccupied",
"ITA19-L4","ITA19","4","1","3","Unoccupied",
"ITA19-L3","ITA19","3","1","3","Unoccupied",
"ITA19-L2","ITA19","2","1","3","Partially Occupied",
"ITA19-L1","ITA19","1","1","3","Partially Occupied",
"ITA2-L5","ITA2","5","2","2","Partially Occupied",
"ITA2-L4","ITA2","4","1","3","Partially Occupied",
"ITA2-L3","ITA2","3","1","3","Partially Occupied",
"ITA2-L2","ITA2","2","2","2","Partially Occupied",
"ITA2-L1","ITA2","1","0","4","Available","Unpurchased"
"ITA20-L5","ITA20","5","1","3","Unoccupied",
"ITA20-L4","ITA20","4","1","3","Partially Occupied",
"ITA20-L3","ITA20","3","1","3","Partially Occupied",
"ITA20-L2","ITA20","2","1","3","Unoccupied",
"ITA20-L1","ITA20","1","1","3","Unoccupied",
"ITA21-L5","ITA21","5","1","3","Partially Occupied",
